0,-66.0,0.0,-690.0,0.0,0.0,0.0,2,8,1,1,5
1,-290.59,0.0,-690.0,0.0,0.0,0.0,1,7,3,2,5
2,-492.0,0.0,-690.0,0.0,0.0,0.0,2,6,4,3,5
3,-682.0,0.0,-506.0,0.0,0.0,0.0,3,5,3,5,5
4,-682.6,0.0,-506.0,0.0,0.0,0.0,4,6,12,5,5
5,-492.0,0.0,-506.0,0.0,0.0,0.0,5,3,11,7,5
6,-292.0,0.0,-506.0,0.0,0.0,0.0,2,6,10,8,5
7,-66.5,0.0,-506.0,0.0,0.0,0.0,1,7,9,8,5
8,-66.5,0.0,-300.0,0.0,0.0,0.0,16,8,10,9,5
9,-300.0,0.0,-300.0,0.0,0.0,0.0,9,7,15,10,5
10,-488.0,0.0,-300.0,0.0,0.0,0.0,6,12,14,11,5
11,-684.0,0.0,-300.0,0.0,0.0,0.0,11,5,13,12,5
12,-685.0,0.0,-100.0,0.0,0.0,0.0,12,14,12,14,5
13,-492.0,0.0,-100.0,0.0,0.0,0.0,13,11,15,14,5
14,-290.0,0.0,-100.0,0.0,0.0,0.0,14,10,16,15,5
15,-66.0,0.0,-100.0,0.0,0.0,0.0,9,15,9,15,5
